Id	MealEntryNumber	MealId	FoodId	Calories
54	1	19	7	184
55	1	20	11	120
56	2	20	8	200
57	1	21	6	120
58	2	21	9	210
59	1	22	7	184
60	1	23	10	100
61	2	23	9	230
62	1	24	14	110
63	2	24	6	120
64	1	25	11	40
66	1	27	7	184
67	2	27	8	100
68	3	27	11	120
69	1	28	8	100
70	2	28	6	130
71	3	28	9	210
72	1	29	8	100
73	1	30	8	100
74	2	30	12	35
75	3	30	7	184
76	1	31	11	40
77	2	31	9	210
78	3	31	10	100
79	4	31	12	35
80	5	31	8	100
89	1	35	7	184
90	2	35	8	100
91	3	35	11	40
92	1	36	10	100
93	2	36	9	210
94	1	37	8	100
95	2	37	11	40
96	1	38	14	110
97	2	38	6	120
98	1	39	13	180
99	1	40	11	40
100	2	40	8	100
101	3	40	7	184
102	4	40	6	120
103	5	40	14	110
104	1	41	8	100
105	1	42	7	184
106	1	43	8	100
107	2	43	11	80
108	3	43	13	180
109	1	44	10	100
110	1	45	9	230
111	1	46	11	40
112	2	46	7	184
113	1	47	8	200
114	2	47	14	110
115	1	48	6	105
116	1	49	11	40
117	2	49	12	35
118	1	50	8	100
128	1	54	7	184
129	2	54	11	40
130	3	54	8	100
131	1	55	13	180
132	1	56	6	120
133	2	56	14	110
134	3	56	8	100
135	1	57	10	100
136	2	57	9	230
137	3	57	11	40
138	4	57	8	100
139	1	58	7	184
140	2	58	11	40
141	1	59	8	100
142	2	59	9	210
143	1	60	8	100
144	1	61	11	40
145	1	62	7	184
146	2	62	8	100
147	1	63	10	100
148	2	63	9	210
149	1	64	11	40
150	1	65	8	100
151	2	65	8	100
152	1	66	13	180
153	1	67	8	100
154	1	68	14	110
155	2	68	6	120
156	3	68	7	184
159	1	75	7	184
160	2	75	11	120
161	3	75	8	100
162	1	76	6	120
163	2	76	9	105
164	1	77	8	100
165	2	77	10	100
166	1	78	7	184
167	2	78	9	105
168	3	78	11	40
169	1	81	8	100
170	1	82	14	110
171	2	82	6	130
172	1	83	9	230
173	1	91	8	100
174	1	92	7	184
175	2	92	11	120
176	3	92	8	100
177	1	93	6	120
178	2	93	8	100
179	1	94	13	180
180	1	95	8	100
181	2	95	10	100
182	3	95	9	230
183	4	95	11	40
184	1	96	7	184
185	2	96	8	100
186	1	97	11	40
187	2	97	8	100
188	1	98	8	100
189	2	98	7	184
190	3	98	13	180
191	1	99	11	40
192	1	103	6	120
193	2	103	9	210
194	3	103	8	100
195	4	103	11	40
196	1	104	10	100
197	2	104	12	35
198	3	104	9	210
199	4	104	7	184
200	1	105	8	100
201	2	105	11	40
202	1	106	14	110
203	2	106	6	125
204	3	106	12	35
205	1	107	11	40
206	2	107	8	100
207	1	108	7	184
208	1	109	7	184
209	2	109	8	100
210	3	109	11	120
211	4	109	13	180
212	1	110	8	100
213	2	110	6	120
214	3	110	9	230
215	1	112	7	184
216	2	112	8	100
217	3	112	11	40
218	1	113	10	100
219	2	113	9	250
