Id	MealNumber	DayId
19	1	4
27	1	5
35	1	6
42	1	7
54	1	9
62	1	10
75	1	16
92	1	17
98	1	18
109	1	19
121	1	23
128	1	26
136	1	27
141	1	28
149	1	30
1149	1	1030
1154	1	1034
1160	1	1035
1169	1	1038
1175	1	1039
1184	1	1040
1192	1	1041
1199	1	1044
1205	1	1047
1212	1	1048
1222	1	1050
2156	1	1051
3161	1	1053
3172	1	1055
3178	1	1057
3183	1	1058
3188	1	1064
3196	1	1065
4185	1	1066
4191	1	1067
4194	1	1068
4210	1	1076
4215	1	1088
4222	1	1091
4230	1	1095
4237	1	1097
4245	1	1099
4251	1	1101
4259	1	1104
4267	1	1105
4275	1	1106
4283	1	1110
4288	1	1113
4295	1	1119
4302	1	1120
4311	1	1122
4316	1	1124
4324	1	1126
4335	1	1128
4342	1	1129
4347	1	1130
4356	1	1132
4361	1	1134
4365	1	1136
4369	1	1138
4373	1	1140
4377	1	1142
4381	1	1143
4388	1	1149
4393	1	1150
4396	1	1151
4400	1	1154
4405	1	1155
4411	1	1156
4416	1	1158
4419	1	1161
4423	1	1163
4427	1	1164
4434	1	1169
4439	1	1171
4452	1	1176
4456	1	1177
4462	1	1181
4467	1	1184
4473	1	1188
4475	1	1189
4479	1	1190
4485	1	1191
4490	1	1195
4493	1	1196
4497	1	1197
4500	1	1199
4504	1	1203
4506	1	1205
4510	1	1206
4514	1	1207
4520	1	1211
4523	1	1212
4528	1	1215
4560	1	1232
4566	1	1233
4571	1	1234
4576	1	1235
4582	1	1236
4587	1	1237
4592	1	1238
4597	1	1239
4602	1	1240
4611	1	1243
4615	1	1244
4620	1	1247
4626	1	1248
4631	1	1249
4636	1	1251
4644	1	1252
4650	1	1253
4660	1	1254
4664	1	1256
4669	1	1257
4675	1	1258
4680	1	1259
4687	1	1260
4692	1	1262
4696	1	1263
4700	1	1265
4705	1	1267
4709	1	1268
4714	1	1269
20	2	4
28	2	5
36	2	6
43	2	7
55	2	9
63	2	10
76	2	16
93	2	17
99	2	18
110	2	19
122	2	23
129	2	26
137	2	27
142	2	28
150	2	30
1150	2	1030
1155	2	1034
1161	2	1035
1170	2	1038
1176	2	1039
1185	2	1040
1193	2	1041
1200	2	1044
1206	2	1047
1213	2	1048
1223	2	1050
2157	2	1051
3162	2	1053
3173	2	1055
3179	2	1057
3184	2	1058
3189	2	1064
3197	2	1065
4186	2	1066
4192	2	1067
4195	2	1068
4211	2	1076
4216	2	1088
4223	2	1091
4231	2	1095
4238	2	1097
4246	2	1099
4252	2	1101
4260	2	1104
4268	2	1105
4276	2	1106
4284	2	1110
4289	2	1113
4296	2	1119
4303	2	1120
4312	2	1122
4317	2	1124
4325	2	1126
4336	2	1128
4343	2	1129
4348	2	1130
4357	2	1132
4362	2	1134
4366	2	1136
4370	2	1138
4374	2	1140
4378	2	1142
4382	2	1143
4389	2	1149
4394	2	1150
4397	2	1151
4401	2	1154
4406	2	1155
4412	2	1156
4417	2	1158
4420	2	1161
4424	2	1163
4428	2	1164
4435	2	1169
4440	2	1171
4453	2	1176
4457	2	1177
4463	2	1181
4468	2	1184
4474	2	1188
4476	2	1189
4480	2	1190
4486	2	1191
4491	2	1195
4494	2	1196
4498	2	1197
4501	2	1199
4505	2	1203
4507	2	1205
4511	2	1206
4515	2	1207
4521	2	1211
4524	2	1212
4527	2	1213
4561	2	1232
4567	2	1233
4572	2	1234
4577	2	1235
4583	2	1236
4588	2	1237
4593	2	1238
4598	2	1239
4603	2	1240
4612	2	1243
4616	2	1244
4621	2	1247
4627	2	1248
4632	2	1249
4637	2	1251
4646	2	1252
4651	2	1253
4661	2	1254
4665	2	1256
4670	2	1257
4676	2	1258
4681	2	1259
4688	2	1260
4693	2	1262
4697	2	1263
4701	2	1265
4706	2	1267
4710	2	1268
4715	2	1269
21	3	4
29	3	5
37	3	6
44	3	7
56	3	9
64	3	10
77	3	16
94	3	17
103	3	18
112	3	19
123	3	23
130	3	26
138	3	27
143	3	28
151	3	30
1151	3	1030
1156	3	1034
1162	3	1035
1171	3	1038
1177	3	1039
1186	3	1040
1194	3	1041
1201	3	1044
1207	3	1047
1214	3	1048
1224	3	1050
2158	3	1051
3163	3	1053
3174	3	1055
3180	3	1057
3185	3	1058
3190	3	1064
3198	3	1065
4187	3	1066
4193	3	1067
4196	3	1068
4212	3	1076
4217	3	1088
4224	3	1091
4232	3	1095
4239	3	1097
4247	3	1099
4253	3	1101
4261	3	1104
4269	3	1105
4277	3	1106
4285	3	1110
4290	3	1113
4297	3	1119
4306	3	1120
4313	3	1122
4318	3	1124
4328	3	1126
4337	3	1128
4344	3	1129
4349	3	1130
4358	3	1132
4363	3	1134
4367	3	1136
4371	3	1138
4375	3	1140
4379	3	1142
4383	3	1143
4390	3	1149
4395	3	1150
4398	3	1151
4402	3	1154
4408	3	1155
4413	3	1156
4421	3	1161
4425	3	1163
4429	3	1164
4436	3	1169
4441	3	1171
4455	3	1176
4458	3	1177
4464	3	1181
4469	3	1184
4477	3	1189
4481	3	1190
4487	3	1191
4492	3	1195
4495	3	1196
4502	3	1199
4508	3	1205
4512	3	1206
4517	3	1207
4522	3	1211
4525	3	1212
4562	3	1232
4568	3	1233
4573	3	1234
4578	3	1235
4584	3	1236
4589	3	1237
4594	3	1238
4599	3	1239
4604	3	1240
4613	3	1243
4617	3	1244
4622	3	1247
4628	3	1248
4633	3	1249
4638	3	1251
4647	3	1252
4652	3	1253
4662	3	1254
